read,0,1024
read,1024,30157
read,31181,1024
read,32205,30124
read,62329,1024
read,63353,30910
read,94263,1024
read,95287,31152
read,126439,1024
read,127463,30125
read,157588,1024
read,158612,30925
read,189537,1024
read,190561,31162
read,221723,1024
read,222747,30173
read,252920,1024
read,253944,30879
read,284823,1024
read,285847,31259
read,317106,1024
read,318130,30127
read,348257,1024
read,349281,30136
read,379417,1024
read,380441,31208
read,411649,1024
read,412673,30102
read,442775,1024
read,443799,30176
read,473975,1024
read,474999,30947
read,505946,2
